leak_id,true_pipe_id,true_node,leak_type,alarm_time,method_name,predicted_node,top1_error_m,top5_min_error_m,top10_min_error_m,candidate_count,xgb_top1_zone,xgb_top3_zones,zone_hit_top1,zone_hit_top3
p183,p183,n299,abrupt,08-Aug-2018 11:05:00,Global sensitivity,n305,31.368717697732,31.368717697732,31.368717697732,782,NaN,,NaN,NaN
p183,p183,n299,abrupt,08-Aug-2018 11:05:00,MAS sensitivity,n305,31.368717697732,31.368717697732,31.368717697732,78,NaN,,NaN,NaN
p183,p183,n299,abrupt,08-Aug-2018 11:05:00,XGBoost top-3 zones + sensitivity,n742,98.8763027727068,98.8763027727068,98.8763027727068,65,30,30|1|23,0,0
p158,p158,n232,abrupt,06-Oct-2018 20:10:00,Global sensitivity,n645,223.394613744378,138.022012193708,105.276247321036,782,NaN,,NaN,NaN
p158,p158,n232,abrupt,06-Oct-2018 20:10:00,MAS sensitivity,n645,223.394613744378,138.022012193708,105.276247321036,78,NaN,,NaN,NaN
p158,p158,n232,abrupt,06-Oct-2018 20:10:00,XGBoost top-3 zones + sensitivity,n645,223.394613744378,138.022012193708,105.276247321036,79,3,3|14|23,1,1
p369,p369,n423,abrupt,26-Oct-2018 18:10:00,Global sensitivity,n438,87.7250483043469,87.7250483043469,64.3616920225068,782,NaN,,NaN,NaN
p369,p369,n423,abrupt,26-Oct-2018 18:10:00,MAS sensitivity,n438,87.7250483043469,87.7250483043469,64.3616920225068,78,NaN,,NaN,NaN
p369,p369,n423,abrupt,26-Oct-2018 18:10:00,XGBoost top-3 zones + sensitivity,n438,87.7250483043469,87.7250483043469,64.3616920225068,86,7,7|24|18,1,1
p523,p523,n132,abrupt,16-Jan-2019 17:20:00,Global sensitivity,n524,67.1554206672849,22.0638193656493,22.0638193656493,782,NaN,,NaN,NaN
p523,p523,n132,abrupt,16-Jan-2019 17:20:00,MAS sensitivity,n524,67.1554206672849,22.0638193656493,22.0638193656493,78,NaN,,NaN,NaN
p523,p523,n132,abrupt,16-Jan-2019 17:20:00,XGBoost top-3 zones + sensitivity,n524,67.1554206672849,22.0638193656493,22.0638193656493,83,15,15|20|2,0,1
p827,p827,n731,abrupt,25-Jan-2019 16:20:00,Global sensitivity,n729,76.248046040538,25.4158262702592,25.4158262702592,782,NaN,,NaN,NaN
p827,p827,n731,abrupt,25-Jan-2019 16:20:00,MAS sensitivity,n729,76.248046040538,25.4158262702592,25.4158262702592,78,NaN,,NaN,NaN
p827,p827,n731,abrupt,25-Jan-2019 16:20:00,XGBoost top-3 zones + sensitivity,n729,76.248046040538,25.4158262702592,25.4158262702592,71,1,1|4|23,1,1
p280,p280,n23,abrupt,15-Feb-2019 22:35:00,Global sensitivity,n436,618.264880391083,567.482108374352,523.234329555124,782,NaN,,NaN,NaN
p280,p280,n23,abrupt,15-Feb-2019 22:35:00,MAS sensitivity,n436,618.264880391083,523.234329555124,479.120138717838,78,NaN,,NaN,NaN
p280,p280,n23,abrupt,15-Feb-2019 22:35:00,XGBoost top-3 zones + sensitivity,n436,618.264880391083,567.482108374352,523.234329555124,85,7,7|18|5,0,0
p653,p653,n609,incipient,05-Mar-2019 18:15:00,Global sensitivity,n198,362.473821158163,325.830232521477,325.339506707993,782,NaN,,NaN,NaN
p653,p653,n609,incipient,05-Mar-2019 18:15:00,MAS sensitivity,n203,422.947435770688,247.660903505176,206.559371912775,78,NaN,,NaN,NaN
p653,p653,n609,incipient,05-Mar-2019 18:15:00,XGBoost top-3 zones + sensitivity,n391,982.133964958447,552.432590571013,513.551044225401,67,24,24|30|23,0,0
p710,p710,n648,abrupt,04-Apr-2019 11:05:00,Global sensitivity,n160,1197.12585609242,1148.11949209348,1148.11949209348,782,NaN,,NaN,NaN
p710,p710,n648,abrupt,04-Apr-2019 11:05:00,MAS sensitivity,n564,1106.87643132601,1006.47861051539,1006.47861051539,78,NaN,,NaN,NaN
p710,p710,n648,abrupt,04-Apr-2019 11:05:00,XGBoost top-3 zones + sensitivity,n146,1218.05670107142,1214.62458859723,1214.55761659338,89,2,2|8|15,0,0
p331,p331,n399,abrupt,22-Apr-2019 11:50:00,Global sensitivity,n55,203.730165905788,142.002496456929,54.5335786465549,782,NaN,,NaN,NaN
p331,p331,n399,abrupt,22-Apr-2019 11:50:00,MAS sensitivity,n55,203.730165905788,142.002496456929,54.5335786465549,78,NaN,,NaN,NaN
p331,p331,n399,abrupt,22-Apr-2019 11:50:00,XGBoost top-3 zones + sensitivity,n55,203.730165905788,142.002496456929,54.5335786465549,89,9,9|24|7,0,1
p193,p193,n326,incipient,13-Jun-2019 13:10:00,Global sensitivity,n341,1396.29221809942,1348.00087059505,1301.80335190266,782,NaN,,NaN,NaN
p193,p193,n326,incipient,13-Jun-2019 13:10:00,MAS sensitivity,n198,1379.90374197804,1239.48749494499,1204.38854026639,78,NaN,,NaN,NaN
p193,p193,n326,incipient,13-Jun-2019 13:10:00,XGBoost top-3 zones + sensitivity,n341,1396.29221809942,1348.00087059505,1272.34994471843,77,5,5|17|8,0,0
p277,p277,n363,incipient,31-May-2019 21:15:00,Global sensitivity,n54,341.19043527772,341.19043527772,341.19043527772,782,NaN,,NaN,NaN
p277,p277,n363,incipient,31-May-2019 21:15:00,MAS sensitivity,n54,341.19043527772,341.19043527772,341.19043527772,78,NaN,,NaN,NaN
p277,p277,n363,incipient,31-May-2019 21:15:00,XGBoost top-3 zones + sensitivity,n54,341.19043527772,341.19043527772,341.19043527772,83,9,9|18|24,0,0
p142,p142,n196,abrupt,13-Jun-2019 10:30:00,Global sensitivity,n465,158.102571531901,148.338644071597,131.736310958672,782,NaN,,NaN,NaN
p142,p142,n196,abrupt,13-Jun-2019 10:30:00,MAS sensitivity,n599,307.578475555426,244.166544647296,51.7672157354439,78,NaN,,NaN,NaN
p142,p142,n196,abrupt,13-Jun-2019 10:30:00,XGBoost top-3 zones + sensitivity,n601,381.179916345287,235.69333279709,235.69333279709,85,5,5|8|7,0,0
p680,p680,n231,abrupt,11-Jul-2019 05:15:00,Global sensitivity,n638,215.445733886749,170.362402689091,126.792899051958,782,NaN,,NaN,NaN
p680,p680,n231,abrupt,11-Jul-2019 05:15:00,MAS sensitivity,n638,215.445733886749,113.005124883786,77.250900641999,78,NaN,,NaN,NaN
p680,p680,n231,abrupt,11-Jul-2019 05:15:00,XGBoost top-3 zones + sensitivity,n638,215.445733886749,170.362402689091,126.792899051958,86,3,3|23|8,0,1
p586,p586,n562,incipient,30-Aug-2019 17:10:00,Global sensitivity,n172,81.9545255004261,27.3186099573166,27.3186099573166,782,NaN,,NaN,NaN
p586,p586,n562,incipient,30-Aug-2019 17:10:00,MAS sensitivity,n172,81.9545255004261,27.3186099573166,27.3186099573166,78,NaN,,NaN,NaN
p586,p586,n562,incipient,30-Aug-2019 17:10:00,XGBoost top-3 zones + sensitivity,n172,81.9545255004261,27.3186099573166,27.3186099573166,79,15,15|21|5,1,1
p721,p721,n656,incipient,06-Aug-2019 05:35:00,Global sensitivity,n11,1665.45959700318,1569.6086411109,1554.29814580408,782,NaN,,NaN,NaN
p721,p721,n656,incipient,06-Aug-2019 05:35:00,MAS sensitivity,n11,1665.45959700318,1569.6086411109,1554.29814580408,78,NaN,,NaN,NaN
p721,p721,n656,incipient,06-Aug-2019 05:35:00,XGBoost top-3 zones + sensitivity,n11,1665.45959700318,1569.6086411109,1514.18665528725,71,13,13|24|30,0,0
p800,p800,n295,incipient,21-Aug-2019 12:00:00,Global sensitivity,n343,1986.97346973355,1986.97346973355,1986.97346973355,782,NaN,,NaN,NaN
p800,p800,n295,incipient,21-Aug-2019 12:00:00,MAS sensitivity,n42,2115.29856302249,2115.29856302249,2115.29856302249,78,NaN,,NaN,NaN
p800,p800,n295,incipient,21-Aug-2019 12:00:00,XGBoost top-3 zones + sensitivity,n343,1986.97346973355,1986.97346973355,1986.97346973355,73,24,24|30|9,0,0
p123,p123,n159,incipient,29-Sep-2019 02:00:00,Global sensitivity,n1,1086.48449415995,1017.36247672597,809.123494313445,782,NaN,,NaN,NaN
p123,p123,n159,incipient,29-Sep-2019 02:00:00,MAS sensitivity,n604,549.103498486396,149.716066105145,144.83408732063,78,NaN,,NaN,NaN
p123,p123,n159,incipient,29-Sep-2019 02:00:00,XGBoost top-3 zones + sensitivity,n1,1086.48449415995,1017.36247672597,884.37208676552,71,13,13|30|24,0,0
p455,p455,n481,incipient,05-Nov-2019 16:15:00,Global sensitivity,n629,1387.61397530077,1309.8697456045,1258.50072969784,782,NaN,,NaN,NaN
p455,p455,n481,incipient,05-Nov-2019 16:15:00,MAS sensitivity,n74,951.044406560493,907.999199586652,907.999199586652,78,NaN,,NaN,NaN
p455,p455,n481,incipient,05-Nov-2019 16:15:00,XGBoost top-3 zones + sensitivity,n340,1281.72042483921,1162.57428255144,1146.17171699968,82,5,5|7|23,0,0
p762,p762,n264,incipient,29-Oct-2019 17:10:00,Global sensitivity,n335,756.341578025431,653.985745295721,584.128535897708,782,NaN,,NaN,NaN
p762,p762,n264,incipient,29-Oct-2019 17:10:00,MAS sensitivity,n776,802.524821329534,802.524821329534,802.524821329534,78,NaN,,NaN,NaN
p762,p762,n264,incipient,29-Oct-2019 17:10:00,XGBoost top-3 zones + sensitivity,n340,848.719405369053,501.072897141723,501.072897141723,76,5,5|8|23,0,0
