junction_id,junction_index,x,y,zone_id
n324,324,2773.28,581.82,10
n325,325,2772.13,534.16,10
n326,326,2763.89,495.26,10
n327,327,2747.2,434.88,10
n328,328,2769.11,427.91,10
n329,329,2835.43,500.67,10
n330,330,2777.81,365.56,10
n331,331,2820.89,411.44,10
n332,332,603.95,462.8,2
n333,333,569.87,439.74,15
n334,334,536.59,415.93,15
n335,335,1397.95,907.67,17
n336,336,449.24,770.4,22
n337,337,1543.29,586.07,8
n338,338,1521.88,776.43,17
n339,339,1600.13,705.2,8
n340,340,1314.42,947.21,5
n341,341,1391.36,762.78,17
n342,342,1417.76,851.74,17
n343,343,548.48,1153.26,24
n344,344,353.14,1409.75,30
n345,345,424.85,1329.87,6
n346,346,447.73,1192.11,13
n347,347,135.02,1617.66,30
n348,348,179.23,1607.01,30
n349,349,227.11,1590.82,30
n350,350,275.12,1576.83,30
n351,351,318.71,1563.11,30
n352,352,317.84,1489.99,30
n353,353,263.42,1433.65,30
n354,354,308,1421.64,30
n355,355,217.79,1235.65,13
n356,356,265.51,1239.01,13
n357,357,305.24,1353.42,30
n358,358,421.93,1525.57,30
n359,359,473.87,1507.88,6
n360,360,217.03,1178.62,13
n361,361,271.4,1175.93,13
n362,362,413.65,1457.94,6
n363,363,452.68,1442.27,6
n364,364,216.32,1116.79,13
n365,365,265.49,1114.97,13
n366,366,217.01,1052.35,13
n367,367,263.33,1044.91,9
n368,368,384.84,1338.64,6
n369,369,218.18,980.17,9
n370,370,259.23,972.37,9
n371,371,396.53,1400.41,6
n372,372,377.56,1167.44,13
n373,373,236.81,903.59,9
n374,374,515.11,1446.21,6
n375,375,504.4,1402.24,6
n376,376,493.68,1358.26,6
n377,377,312.17,1075.32,13
n378,378,403.81,1248.29,13
n379,379,414.34,1289.08,6
n380,380,354.86,990.76,9
n381,381,563.14,1424.2,6
n382,382,550.73,1376.56,6
n383,383,538.31,1328.92,6
n384,384,462.92,1244.21,6
n385,385,435.83,1156.23,13
n386,386,329.56,896.3,9
n387,387,504.22,1119.03,9
n388,388,482.27,1075.99,9
n389,389,486.95,1177.09,6
n390,390,571.47,1176.46,24
n391,391,626.09,1151.64,24
n392,392,672.85,1137.73,18
n393,393,621.49,1207.6,24
n394,394,672.07,1207.11,24
n395,395,722.66,1206.63,24
n396,396,773.24,1206.15,24
n397,397,823.82,1205.67,24
n398,398,874.41,1205.19,7
n399,399,924.99,1204.71,7
n400,400,668.21,1260.96,24
n401,401,718.46,1260.38,24
n402,402,630.46,1304.15,24
n403,403,659.77,1341.02,24
n404,404,689.25,1388.1,24
n405,405,564.22,1061.39,18
n406,406,486.07,891.14,9
n407,407,519.24,942.81,9
n408,408,673.38,1110.58,18
n409,409,773.19,1313.93,24
n410,410,820.52,1331.76,24
n411,411,863.39,1295.43,24
n412,412,617.83,993.35,18
n413,413,668.68,992.14,18
n414,414,665.79,1049.48,18
n415,415,532.49,833.25,9
n416,416,814.56,1259.54,24
n417,417,860.4,1259.32,24
n418,418,768.31,1084.95,18
n419,419,811.68,1072.8,18
n420,420,811.49,1142.14,18
n421,421,861.86,1141.9,7
n422,422,912.24,1141.67,7
n423,423,962.6,1141.45,7
n424,424,1012.97,1141.21,7
n425,425,767.35,1052.08,18
n426,426,811.74,1045.87,18
n427,427,807.97,1102.08,18
n428,428,854.26,1089.09,7
n429,429,904.62,1077.18,7
n430,430,951.61,1083.25,7
n431,431,998.83,1085.74,7
n432,432,1047.15,1084.17,7
n433,433,1094.8,1083.12,7
n434,434,940.91,1231.66,7
n435,435,670.66,915.81,18
n436,436,904.61,1046.25,7
n437,437,902.13,1011.87,7
n438,438,1019.47,1172.6,7
n439,439,902.9,952.23,7
n440,440,997.91,1021.94,7
n441,441,1041.64,1012.03,7
n442,442,1095.65,988.29,5
n443,443,913.87,891,12
n444,444,956.94,898.18,7
n445,445,911.64,843.18,12
n446,446,996.98,943.75,7
n447,447,1042.54,933.45,5
n448,448,1091.19,922.54,5
n449,449,1102.94,1110.03,7
n450,450,1091.7,1033.83,5
n451,451,1140.9,1030.96,5
n452,452,1001.38,871.34,5
n453,453,1049.92,869.1,5
n454,454,1161.85,955.1,5
n455,455,1194.59,917.99,5
n456,456,1227.32,880.87,5
n457,457,1260.06,843.76,5
n458,458,1066.26,847.65,5
n459,459,1026.06,821.64,5
n460,460,1005.02,789.15,12
n461,461,1231.54,1001.12,5
n462,462,1272.98,974.17,5
n463,463,1252.34,784.51,5
n464,464,1211.89,762.37,11
n465,465,1171.44,740.24,11
n466,466,1334.44,821.68,17
n467,467,1376.1,836.7,17
n468,468,281.22,702.13,22
n469,469,223.12,777.03,22
n470,470,224.62,728.08,22
n471,471,218.8,690.24,22
n472,472,220.72,604.68,22
n473,473,252.89,560.92,22
n474,474,330.68,701.33,22
n475,475,396.98,751.05,22
n476,476,406.25,705.63,22
n477,477,286.18,599.01,22
n478,478,201.14,458.08,20
n479,479,193.61,413.36,20
n480,480,186.07,368.64,20
n481,481,178.54,323.91,20
n482,482,373.67,640.4,22
n483,483,331.29,598.72,22
n484,484,261.18,404.8,20
n485,485,256.04,356.27,20
n486,486,173.17,193.52,28
n487,487,205.07,247.71,28
n488,488,316.84,446.11,20
n489,489,319.16,394.2,20
n490,490,321.48,342.28,20
n491,491,420.9,596.8,22
n492,492,381.77,505.71,20
n493,493,378.74,456.38,20
n494,494,469.84,617,2
n495,495,490.66,626.35,2
n496,496,545.05,721.01,2
n497,497,551.34,665.34,2
n498,498,599.28,785.86,2
n499,499,258.37,211.12,28
n500,500,439.17,506.92,2
n501,501,462.11,467.35,2
n502,502,487.75,428.51,15
n503,503,232.34,151.5,28
n504,504,473.3,512.33,2
n505,505,504.95,464.12,2
n506,506,417.64,392.3,20
n507,507,377.5,356.97,20
n508,508,379.27,306.9,20
n509,509,381.04,256.83,28
n510,510,505.99,526.82,2
n511,511,537.93,483.28,2
n512,512,326.11,243.7,28
n513,513,333.63,191.29,28
n514,514,245.75,90.53,28
n515,515,288.34,104.03,28
n516,516,330.92,117.53,28
n517,517,545.09,546.98,2
n518,518,574.52,504.9,2
n519,519,713.91,799.8,12
n520,520,668.7,746.62,12
n521,521,677.62,698.18,2
n522,522,579.38,571.04,2
n523,523,427.62,285.22,28
n524,524,469.08,358.75,15
n525,525,650,559.01,2
n526,526,422.52,148.38,28
n527,527,471.54,165.75,28
n528,528,771.97,757.28,12
n529,529,775.93,710,12
n530,530,506.12,233.27,15
n531,531,524.06,305.92,15
n532,532,669.76,508.72,2
n533,533,658.77,452.72,15
n534,534,831.22,757.96,12
n535,535,831.65,704.97,12
n536,536,829.95,654.44,12
n537,537,739.65,621.52,12
n538,538,562.29,383.77,15
n539,539,708.69,489.54,2
n540,540,593.86,406.66,15
n541,541,628.02,430.93,15
n542,542,874.98,729.11,12
n543,543,872.11,676.01,12
n544,544,716.34,393.05,15
n545,545,569.39,234.87,15
n546,546,590.31,265.14,15
n547,547,587.32,311.51,15
n548,548,641.12,327.38,15
n549,549,625.26,208.53,15
n550,550,679.49,220.52,15
n551,551,915.36,714.88,12
n552,552,918.04,671.32,12
n553,553,766.72,416.35,16
n554,554,776.63,362.23,16
n555,555,786.54,308.12,16
n556,556,857.92,564.2,12
n557,557,938.32,690.38,12
n558,558,807.76,447.08,16
n559,559,814.69,401.55,16
n560,560,821.61,356.01,16
n561,561,828.53,310.47,16
n562,562,726.6,286.7,15
n563,563,866.55,472.69,16
n564,564,874.56,423.8,16
n565,565,882.56,374.91,16
n566,566,890.57,326.03,16
n567,567,996.72,686.36,11
n568,568,999.93,637.95,11
n569,569,902.12,487.6,16
n570,570,910.75,437.12,16
n571,571,919.39,386.63,16
n572,572,928.03,336.15,16
n573,573,934.34,501.67,16
n574,574,939.77,448.58,16
n575,575,945.21,395.48,16
n576,576,950.64,342.39,16
n577,577,1054.81,679.14,11
n578,578,1099.42,725.23,11
n579,579,1104.15,688.18,11
n580,580,1089.4,537.54,11
n581,581,1016.04,401.12,16
n582,582,1020.63,351.38,16
n583,583,1250.78,703.35,11
n584,584,1302.89,698.44,17
n585,585,1348.76,700.57,17
n586,586,1200.6,665.63,11
n587,587,1196.61,623.33,11
n588,588,1137.02,532.09,11
n589,589,1109.85,431.01,27
n590,590,1111.86,374.23,27
n591,591,1069.56,309.55,16
n592,592,1191.15,530.85,11
n593,593,1189.67,480.69,27
n594,594,1188.2,430.51,27
n595,595,1186.72,380.35,27
n596,596,1244.42,578.71,11
n597,597,1296.22,576.4,27
n598,598,1348.01,574.08,27
n599,599,1446.77,705.8,17
n600,600,1491.26,699.57,17
n601,601,1534.31,677,8
n602,602,1397.24,657.92,17
n603,603,1398.52,614.85,8
n604,604,1229.78,334.88,27
n605,605,1274.33,339.58,27
n606,606,1318.87,344.28,27
n607,607,1363.41,348.97,27
n608,608,1221.67,351.59,27
n609,609,1240.85,404.62,27
n610,610,1258.66,457.29,27
n611,611,1282.94,499.35,27
n612,612,1329.98,513.41,27
n613,613,1369.15,537.26,27
n614,614,1453.18,576.91,8
n615,615,1400.09,519.86,27
n616,616,1398.72,459.98,27
n617,617,1398.51,412.03,27
n618,618,1535.19,610.72,8
n619,619,1509.11,507.78,8
n620,620,1509.28,461.48,8
n621,621,1509.45,415.17,8
n622,622,1458.79,361.27,27
n623,623,1674.79,646.09,8
n624,624,1597.52,514.45,8
n625,625,1586.15,589.44,8
n626,626,1706.96,571.61,23
n627,627,1604.61,905.72,3
n628,628,1507.73,900.61,17
n629,629,1452.84,904.14,17
n630,630,1600.17,843.19,3
n631,631,1540.37,811.06,17
n632,632,1696.13,920.24,3
n633,633,1745.66,926.11,3
n634,634,1795.19,931.98,3
n635,635,1844.71,937.86,3
n636,636,1894.24,943.73,3
n637,637,1639.5,801.7,3
n638,638,1633.64,755.86,3
n639,639,1653.87,715.57,3
n640,640,1701.44,686.96,3
n641,641,1752.66,674.56,3
n642,642,1742.99,840.56,3
n643,643,1795.73,838.42,3
n644,644,1848.45,836.28,3
n645,645,1693.12,888.63,3
n646,646,1742.2,892.35,3
n647,647,1796.56,895.3,3
n648,648,1848.07,895.32,3
n649,649,1743.54,779.95,3
n650,650,1795.1,777.63,3
n651,651,1846.64,775.31,3
n652,652,1694.43,740.22,3
n653,653,1803.15,728.38,3
n654,654,1849.2,723.06,3
n655,655,1755.94,692.12,3
n656,656,1798.11,691.81,3
n657,657,1849.13,690.97,14
n658,658,1954.28,894.64,25
n659,659,1996.25,948.37,25
n660,660,2048.73,947.13,25
n661,661,2008.51,838.17,25
n662,662,2010.38,787.87,14
n663,663,2011.09,725.66,14
n664,664,2048.98,844.01,25
n665,665,2050.98,793.42,25
n666,666,2053,742.84,14
n667,667,1796.76,388.13,23
n668,668,2149.97,952.42,25
n669,669,2200.94,951.41,25
n670,670,2247.08,957.97,25
n671,671,2293.71,965.39,21
n672,672,2343.68,976.6,21
n673,673,1947.14,578.6,14
n674,674,1941.47,534.52,23
n675,675,1935.8,490.43,23
n676,676,1990.57,655.35,14
n677,677,2031.66,600.44,14
n678,678,2220.36,891.08,25
n679,679,2164.96,839.55,25
n680,680,2166.95,788.76,25
n681,681,1975.76,397.91,23
n682,682,2026,400.45,19
n683,683,2101.51,626.53,14
n684,684,2218.47,734.57,4
n685,685,2267.98,731.19,4
n686,686,2317.5,727.79,4
n687,687,2097.23,525.5,19
n688,688,2148.93,543.97,19
n689,689,2249.12,671.84,4
n690,690,2298.14,668.85,4
n691,691,2084.82,442.56,19
n692,692,2441.95,996.02,21
n693,693,2490.13,1007.01,21
n694,694,2538.32,1018,21
n695,695,2586.51,1028.99,26
n696,696,2634.69,1039.98,26
n697,697,2118.1,403.1,19
n698,698,2159.96,403.23,19
n699,699,2246.41,600.15,4
n700,700,2294.22,596.98,4
n701,701,2452.31,948.07,21
n702,702,2495.43,957.88,21
n703,703,2242.12,535.04,19
n704,704,2288.94,530.9,19
n705,705,2335.04,529.47,4
n706,706,2231.84,492.67,19
n707,707,2199.37,455.13,19
n708,708,2487.09,884.88,21
n709,709,2481.92,831.1,21
n710,710,2534.72,829.27,21
n711,711,2587.5,827.44,21
n712,712,2640.3,825.61,1
n713,713,2248.82,402.02,19
n714,714,2295.81,400.66,19
n715,715,2342.81,399.31,19
n716,716,2389.8,397.95,29
n717,717,2436.8,396.6,29
n718,718,2473.87,784.38,21
n719,719,2522,782.19,21
n720,720,2570.13,779.99,1
n721,721,2618.27,777.79,1
n722,722,2666.4,775.59,1
n723,723,2714.53,773.4,1
n724,724,2588.98,979.19,26
n725,725,2646.7,993.94,26
n726,726,2459.66,718.99,4
n727,727,2510.41,716.11,4
n728,728,2561.15,713.22,1
n729,729,2611.89,710.35,1
n730,730,2662.64,707.46,1
n731,731,2713.39,704.58,1
n732,732,2449.91,666.37,4
n733,733,2409.48,622.7,4
n734,734,2405.53,564.31,29
n735,735,2594.19,889.35,21
n736,736,2641.08,894.72,26
n737,737,2625.09,931.94,26
n738,738,2706.11,999.69,26
n739,739,2727.17,950.91,26
n740,740,2740.36,904.38,26
n741,741,2534.19,661.42,29
n742,742,2581,658.66,1
n743,743,2627.82,655.9,1
n744,744,2674.62,653.14,1
n745,745,2721.42,650.38,1
n746,746,2753.41,1018.17,26
n747,747,2771.3,975.8,26
n748,748,2789.58,940.06,26
n749,749,2802.18,898.45,26
n750,750,2412.37,471.08,29
n751,751,2531.97,598.27,29
n752,752,2580.23,594.98,29
n753,753,2628.5,591.7,29
n754,754,2676.76,588.4,10
n755,755,2725.02,585.11,10
n756,756,2525.67,543.31,29
n757,757,2570.71,540.48,29
n758,758,2690.54,861.93,26
n759,759,2518.25,496.5,29
n760,760,2516.01,442.21,29
n761,761,2522.09,396.82,29
n762,762,2612.76,495.03,29
n763,763,2670.96,532.39,10
n764,764,2708.51,543.91,10
n765,765,2814.63,805.61,1
n766,766,2818.1,754.79,1
n767,767,2821.57,703.97,1
n768,768,2825.03,653.13,1
n769,769,2828.5,602.31,10
n770,770,2831.97,551.49,10
n771,771,2614.73,390.2,29
n772,772,2669.1,381.98,10
n773,773,2723.45,373.77,10
n774,774,2828.16,456.05,10
n775,775,2808.79,364.69,10
n776,776,1356.19,927.44,17
n777,777,1561.01,740.81,17
n778,778,1487.17,801.53,17
n779,779,1452.46,826.63,17
n780,780,1487.84,761.07,17
n781,781,1440.88,763,17
n782,782,1404.56,807.26,17
