leak_id,method_name,true_pipe_id,true_node,predicted_node,top1_error_m,top5_min_error_m,top10_min_error_m,top1_success_300m,top5_success_300m,top10_success_300m,candidate_count,true_zone,predicted_zone,xgb_top1_zone,xgb_top3_zones,zone_hit_top1,zone_hit_top3,sensitivity_strength,confidence_gap,confidence_ratio,weak_sensitivity_flag,blind_spot_flag,failure_mode
p277,MAS sensitivity,p277,n363,n54,341.19043527772004,341.19043527772004,341.19043527772004,False,False,False,78,6,18,,,,,0.09860427141127197,0.0020774981787387015,1.0028658813660976,True,True,weak_sensitivity
p277,XGBoost top-3 zones + sensitivity,p277,n363,n54,341.19043527772004,341.19043527772004,341.19043527772004,False,False,False,83,6,18,9.0,9|18|24,False,False,0.09860427141127197,0.0020774981787387015,1.0028658813660976,True,True,wrong_zone
p142,Global sensitivity,p142,n196,n465,158.10257153190142,148.33864407159712,131.73631095867228,True,True,True,782,11,11,,,,,0.22410260162811868,4.2771120516982286e-05,1.0000440411984393,False,False,success_within_300m
p142,MAS sensitivity,p142,n196,n599,307.57847555542617,244.1665446472959,51.76721573544389,False,True,True,78,11,17,,,,,0.22410260162811868,1.1507820525391566e-06,1.0000011842370498,False,False,unknown
p142,XGBoost top-3 zones + sensitivity,p142,n196,n601,381.1799163452868,235.69333279709025,235.69333279709025,False,True,True,85,11,8,5.0,5|8|7,False,False,0.22410260162811868,0.00022921946262532966,1.0002362003325047,False,False,wrong_zone
p680,Global sensitivity,p680,n231,n638,215.44573388674928,170.36240268909108,126.79289905195796,True,True,True,782,23,3,,,,,0.19208236673511378,0.00012992883808138345,1.0001314233804206,False,False,success_within_300m
p680,MAS sensitivity,p680,n231,n638,215.44573388674928,113.0051248837857,77.25090064199898,True,True,True,78,23,3,,,,,0.19208236673511378,0.0014265081143178815,1.0014448219010115,False,False,success_within_300m
p680,XGBoost top-3 zones + sensitivity,p680,n231,n638,215.44573388674928,170.36240268909108,126.79289905195796,True,True,True,86,23,3,3.0,3|23|8,False,True,0.19208236673511378,0.00012992883808138345,1.0001314233804206,False,False,success_within_300m
p586,Global sensitivity,p586,n562,n172,81.95452550042612,27.31860995731661,27.31860995731661,True,True,True,782,15,15,,,,,0.19417513687487126,0.0005617502801685825,1.0006355011876875,False,False,success_within_300m
p586,MAS sensitivity,p586,n562,n172,81.95452550042612,27.31860995731661,27.31860995731661,True,True,True,78,15,15,,,,,0.19417513687487126,0.0005617502801685825,1.0006355011876875,False,False,success_within_300m
p586,XGBoost top-3 zones + sensitivity,p586,n562,n172,81.95452550042612,27.31860995731661,27.31860995731661,True,True,True,79,15,15,15.0,15|21|5,True,True,0.19417513687487126,0.0005617502801685825,1.0006355011876875,False,False,success_within_300m
p721,Global sensitivity,p721,n656,n11,1665.459597003182,1569.608641110898,1554.2981458040797,False,False,False,782,3,13,,,,,0.19077191443110456,6.047560466848623e-06,1.0000065680247419,False,False,large_distance_error
p721,MAS sensitivity,p721,n656,n11,1665.459597003182,1569.608641110898,1554.2981458040797,False,False,False,78,3,13,,,,,0.19077191443110456,6.047560466848623e-06,1.0000065680247419,False,False,large_distance_error
p721,XGBoost top-3 zones + sensitivity,p721,n656,n11,1665.459597003182,1569.608641110898,1514.1866552872534,False,False,False,71,3,13,13.0,13|24|30,False,False,0.19077191443110456,6.047560466848623e-06,1.0000065680247419,False,False,wrong_zone
p800,Global sensitivity,p800,n295,n343,1986.9734697335548,1986.9734697335548,1986.9734697335548,False,False,False,782,21,24,,,,,0.12474948673502952,0.0001444712950060545,1.0001698012924765,True,False,weak_sensitivity
p800,MAS sensitivity,p800,n295,n42,2115.2985630224875,2115.2985630224875,2115.2985630224875,False,False,False,78,21,9,,,,,0.12474948673502952,7.282157291721436e-05,1.000085720063407,True,False,weak_sensitivity
p800,XGBoost top-3 zones + sensitivity,p800,n295,n343,1986.9734697335548,1986.9734697335548,1986.9734697335548,False,False,False,73,21,24,24.0,24|30|9,False,False,0.12474948673502952,0.0001444712950060545,1.0001698012924765,True,False,wrong_zone
p123,Global sensitivity,p123,n159,n1,1086.484494159949,1017.36247672597,809.1234943134453,False,False,False,782,12,30,,,,,0.2094160590998221,0.002218394425231404,1.037157181532957,False,False,large_distance_error
p123,MAS sensitivity,p123,n159,n604,549.1034984863965,149.71606610514456,144.83408732063046,False,True,True,78,12,27,,,,,0.2094160590998221,0.0016570752727859128,-0.9979096926823763,False,False,unknown
p123,XGBoost top-3 zones + sensitivity,p123,n159,n1,1086.484494159949,1017.36247672597,884.3720867655198,False,False,False,71,12,30,13.0,13|30|24,False,False,0.2094160590998221,0.002218394425231404,1.037157181532957,False,False,wrong_zone
p455,Global sensitivity,p455,n481,n629,1387.6139753007678,1309.8697456045008,1258.5007296978415,False,False,False,782,20,17,,,,,0.16887188963544686,0.00016477533466841,1.0001662396080475,False,False,large_distance_error
p455,MAS sensitivity,p455,n481,n74,951.0444065604928,907.9991995866516,907.9991995866516,False,False,False,78,20,7,,,,,0.16887188963544686,0.0006132734679077378,1.0006254684923521,False,False,large_distance_error
p455,XGBoost top-3 zones + sensitivity,p455,n481,n340,1281.720424839208,1162.574282551442,1146.1717169996823,False,False,False,82,20,5,5.0,5|7|23,False,False,0.16887188963544686,0.0011589546426158392,1.001172218208513,False,False,wrong_zone
p762,Global sensitivity,p762,n264,n335,756.3415780254314,653.9857452957211,584.128535897708,False,False,False,782,14,17,,,,,0.18287715285145606,9.289065545547981e-05,1.0001100273989902,False,False,large_distance_error
p762,MAS sensitivity,p762,n264,n776,802.5248213295336,802.5248213295336,802.5248213295336,False,False,False,78,14,17,,,,,0.18287715285145606,0.0005258719402307932,1.0006234112455372,False,False,large_distance_error
p762,XGBoost top-3 zones + sensitivity,p762,n264,n340,848.7194053690534,501.072897141723,501.072897141723,False,False,False,76,14,5,5.0,5|8|23,False,False,0.18287715285145606,0.0008116785116414338,1.000963156957992,False,False,wrong_zone
